dataset_label,Name,Formula,adsorbate,surface_ref_name,surface_ref_formula,surface_ref_status,E,surface_ref_E,delta_E_to_surface_eV,delta_C,delta_H,delta_O,n_CO_adsorbates,E_ads_CO_eV,n_CH3O_adsorbates,E_ads_CH3OH_to_CH3O_eV,fmax,source_hdf,source_row
Ni5Ga3-slabs,Ni5Ga3-211-clean-4x3x4-1-CH3O-3,CH3Ga24Ni40O,CH3O,Ni5Ga3-211-clean-4x3x4-1,Ga24Ni40,ok,-169.51082697,-145.07954972,-24.431277250000022,1.0,3.0,1.0,,,1.0,,0.0088,/data/Chapter6/Ni5Ga3-slabs.hdf,2
Ni5Ga3-slabs,Ni5Ga3-211-clean-4x3x4-1-CH3O-2,CH3Ga24Ni40O,CH3O,Ni5Ga3-211-clean-4x3x4-1,Ga24Ni40,ok,-169.62120602,-145.07954972,-24.5416563,1.0,3.0,1.0,,,1.0,,0.0065,/data/Chapter6/Ni5Ga3-slabs.hdf,3
Ni5Ga3-slabs,Ni5Ga3-211-clean-4x3x4-1-CO-1,CGa24Ni40O,CO,Ni5Ga3-211-clean-4x3x4-1,Ga24Ni40,ok,-158.33522758,-145.07954972,-13.25567786000002,1.0,0.0,1.0,1.0,,,,0.007,/data/Chapter6/Ni5Ga3-slabs.hdf,4
Ni5Ga3-slabs,Ni5Ga3-211-clean-4x3x4-1-CO-2,C2Ga24Ni40O2,CO,Ni5Ga3-211-clean-4x3x4-1,Ga24Ni40,ok,-171.61460621,-145.07954972,-26.535056490000017,2.0,0.0,2.0,2.0,,,,0.0067,/data/Chapter6/Ni5Ga3-slabs.hdf,5
Ni5Ga3-slabs,Ni5Ga3-221-clean-2x4x4-CH3O-top-A,CH3Ga12Ni20O,CH3O,Ni5Ga3-221-clean-2x4x4,Ga12Ni20,ok,-96.93745349,-72.50025308,-24.437200410000003,1.0,3.0,1.0,,,1.0,,0.007,/data/Chapter6/Ni5Ga3-slabs.hdf,7
Ni5Ga3-slabs,Ni5Ga3-221-clean-2x4x4-CH3O-top-B,CH3Ga12Ni20O,CH3O,Ni5Ga3-221-clean-2x4x4,Ga12Ni20,ok,-96.93647691,-72.50025308,-24.436223830000003,1.0,3.0,1.0,,,1.0,,0.0091,/data/Chapter6/Ni5Ga3-slabs.hdf,8
Ni5Ga3-slabs,Ni5Ga3-221-clean-2x4x4-CH3O-bridge-1,CH3Ga12Ni20O,CH3O,Ni5Ga3-221-clean-2x4x4,Ga12Ni20,ok,-96.99881829,-72.50025308,-24.49856521000001,1.0,3.0,1.0,,,1.0,,0.0064,/data/Chapter6/Ni5Ga3-slabs.hdf,9
Ni5Ga3-slabs,Ni5Ga3-221-clean-2x4x4-CH3O-bridge-3,CH3Ga12Ni20O,CH3O,Ni5Ga3-221-clean-2x4x4,Ga12Ni20,ok,-96.81950223,-72.50025308,-24.319249150000005,1.0,3.0,1.0,,,1.0,,0.009,/data/Chapter6/Ni5Ga3-slabs.hdf,10
Ni5Ga3-slabs,Ni5Ga3-221-clean-2x4x4-CH3O-bridge-2,CH3Ga12Ni20O,CH3O,Ni5Ga3-221-clean-2x4x4,Ga12Ni20,ok,-97.199546,-72.50025308,-24.699292920000005,1.0,3.0,1.0,,,1.0,,0.0086,/data/Chapter6/Ni5Ga3-slabs.hdf,11
Ni5Ga3-slabs,Ni5Ga3-221-clean-2x4x4-CH3O-hcp-1,CH3Ga12Ni20O,CH3O,Ni5Ga3-221-clean-2x4x4,Ga12Ni20,ok,-96.92275909,-72.50025308,-24.422506010000006,1.0,3.0,1.0,,,1.0,,0.0063,/data/Chapter6/Ni5Ga3-slabs.hdf,12
Ni5Ga3-slabs,Ni5Ga3-221-clean-2x4x4-CH3O-hcp-2,CH3Ga12Ni20O,CH3O,Ni5Ga3-221-clean-2x4x4,Ga12Ni20,ok,-96.50246012,-72.50025308,-24.002207040000002,1.0,3.0,1.0,,,1.0,,0.0082,/data/Chapter6/Ni5Ga3-slabs.hdf,13
Ni5Ga3-slabs,Ni5Ga3-221-clean-2x4x4-CO-top-1,C2Ga12Ni20O2,CO,Ni5Ga3-221-clean-2x4x4,Ga12Ni20,ok,-99.42207395,-72.50025308,-26.921820870000005,2.0,0.0,2.0,2.0,,,,0.007,/data/Chapter6/Ni5Ga3-slabs.hdf,14
Ni5Ga3-slabs,Ni5Ga3-221-clean-2x4x4-CO-top-4,CGa12Ni20O,CO,Ni5Ga3-221-clean-2x4x4,Ga12Ni20,ok,-85.94293233,-72.50025308,-13.442679250000012,1.0,0.0,1.0,1.0,,,,0.009,/data/Chapter6/Ni5Ga3-slabs.hdf,15
Ni5Ga3-slabs,Ni5Ga3-221-clean-2x4x4-CO-top-3,C2Ga12Ni20O2,CO,Ni5Ga3-221-clean-2x4x4,Ga12Ni20,ok,-99.69667746,-72.50025308,-27.19642438000001,2.0,0.0,2.0,2.0,,,,0.0071,/data/Chapter6/Ni5Ga3-slabs.hdf,16
Ni5Ga3-slabs,Ni5Ga3-221-clean-2x4x4-CO-top-2,C2Ga12Ni20O2,CO,Ni5Ga3-221-clean-2x4x4,Ga12Ni20,ok,-99.92272417,-72.50025308,-27.422471090000002,2.0,0.0,2.0,2.0,,,,0.0099,/data/Chapter6/Ni5Ga3-slabs.hdf,17
Ni5Ga3-slabs,Ni5Ga3-221-clean-2x4x4-CO-hcp_bridge,C3Ga12Ni20O3,CO,Ni5Ga3-221-clean-2x4x4,Ga12Ni20,ok,-113.13470854,-72.50025308,-40.63445546000001,3.0,0.0,3.0,3.0,,,,0.0053,/data/Chapter6/Ni5Ga3-slabs.hdf,18
Ni5Ga3-slabs,Ni5Ga3-221-clean-2x4x4-CO-bridge,CGa12Ni20O,CO,Ni5Ga3-221-clean-2x4x4,Ga12Ni20,ok,-86.2395778,-72.50025308,-13.739324720000013,1.0,0.0,1.0,1.0,,,,0.0042,/data/Chapter6/Ni5Ga3-slabs.hdf,19
Ni5Ga3-slabs,Ni5Ga3-221-clean-2x4x4-CO-hcp,CGa12Ni20O,CO,Ni5Ga3-221-clean-2x4x4,Ga12Ni20,ok,-86.53208593,-72.50025308,-14.03183285,1.0,0.0,1.0,1.0,,,,0.0082,/data/Chapter6/Ni5Ga3-slabs.hdf,20
