dataset_label,Name,Formula,E,surface_key,surface_ref_status,source_hdf,source_row
Ni-slabs,Ni-100-clean-2x2x4-CH2-1,CH2Ni16,-48.66659074,Ni-100-clean-2x2x4-CH2-1,self,/data/Chapter6/Ni-slabs.hdf,1557
Ni-slabs,Ni-100-clean-2x2x4-CH2-2,CH2Ni16,-48.75632069,Ni-100-clean-2x2x4-CH2-2,self,/data/Chapter6/Ni-slabs.hdf,1558
Ni-slabs,Ni-100-clean-2x2x4-OH-1,HNi16O,-43.21382614,Ni-100-clean-2x2x4-OH-1,self,/data/Chapter6/Ni-slabs.hdf,1559
Ni-slabs,Ni-100-clean-2x2x4-Ox2-a,Ni16O2,-44.67482167,Ni-100-clean-2x2x4-Ox2-a,self,/data/Chapter6/Ni-slabs.hdf,1560
Ni-slabs,Ni-100-clean-2x2x4-C-1,CNi16,-41.64366619,Ni-100-clean-2x2x4-C-1,self,/data/Chapter6/Ni-slabs.hdf,1564
Ni-slabs,Ni-100-clean-2x2x4-HCOH-AA-1,CH2Ni16O,-53.59843603,Ni-100-clean-2x2x4-HCOH-AA-1,self,/data/Chapter6/Ni-slabs.hdf,1567
Ni-slabs,Ni-100-clean-2x2x5,Ni20,-43.73011664,Ni-100-clean-2x2x5,self,/data/Chapter6/Ni-slabs.hdf,1568
Ni-slabs,Ni-100-clean-4x2x4,Ni32,-67.24659116,Ni-100-clean-4x2x4,self,/data/Chapter6/Ni-slabs.hdf,1569
Ni-slabs,Ni-100-clean-4x2x4-H2COO-AA-1,CH2Ni32O2,-93.65496058,Ni-100-clean-4x2x4-H2COO-AA-1,self,/data/Chapter6/Ni-slabs.hdf,1570
Ni-slabs,Ni-100-clean-3x3x6,Ni54,-121.21157674,Ni-100-clean-3x3x6,self,/data/Chapter6/Ni-slabs.hdf,1574
Ni-slabs,Ni-100-clean-2x2x6,Ni24,-53.87043198,Ni-100-clean-2x2x6,self,/data/Chapter6/Ni-slabs.hdf,1575
Ni-slabs,Ni-100-clean-6x4x4,Ni96,-201.91983466,Ni-100-clean-6x4x4,self,/data/Chapter6/Ni-slabs.hdf,1576
Ni-slabs,Ni-100-clean-6x4x4-Al20O20OH6,0,0.0,Ni-100-clean-6x4x4-Al20O20OH6,missing,/data/Chapter6/Ni-slabs.hdf,1577
Ni-slabs,Ni-100-clean-6x4x4-Al20O20-1,Al20Ni96O20,-432.16376243,Ni-100-clean-6x4x4-Al20O20-1,self,/data/Chapter6/Ni-slabs.hdf,1578
Ni-slabs,Ni-100-clean-6x4x4-Ga20O20-1,Ga20Ni96O20,-369.72175957,Ni-100-clean-6x4x4-Ga20O20-1,self,/data/Chapter6/Ni-slabs.hdf,1579
Ni-slabs,Ni-100-clean-6x4x4-Ga20O20OH6,H6Ga20Ni96O26,-428.01451186,Ni-100-clean-6x4x4-Ga20O20OH6,self,/data/Chapter6/Ni-slabs.hdf,1580
Ni-slabs,Ni-100-clean-4x4x4,Ni64,-134.49610785,Ni-100-clean-4x4x4,self,/data/Chapter6/Ni-slabs.hdf,1581
Ni-slabs,Ni-100-clean-4x4x4-H2COO-AA-1,CH2Ni64O2,-160.90348406,Ni-100-clean-4x4x4-H2COO-AA-1,self,/data/Chapter6/Ni-slabs.hdf,1583
Ni-slabs,Ni-100-clean-4x4x4-OHAlO-1,HAlNi64O2,-154.50820344,Ni-100-clean-4x4x4-OHAlO-1,self,/data/Chapter6/Ni-slabs.hdf,1584
Ni-slabs,Ni-100-clean-4x4x4-GaO-1,GaNi64O,-142.440722,Ni-100-clean-4x4x4-GaO-1,self,/data/Chapter6/Ni-slabs.hdf,1586
Ni-slabs,Ni-100-clean-4x4x4-GaOH-1,HGaNi64O,-146.65648355,Ni-100-clean-4x4x4-GaOH-1,self,/data/Chapter6/Ni-slabs.hdf,1587
Ni-slabs,Ni-100-clean-4x4x4-Ga-1,GaNi64,-137.12046918,Ni-100-clean-4x4x4-Ga-1,self,/data/Chapter6/Ni-slabs.hdf,1588
Ni-slabs,Ni-100-clean-4x4x4-Ox8-1,Ni64O8,-178.70566733,Ni-100-clean-4x4x4-Ox8-1,self,/data/Chapter6/Ni-slabs.hdf,1590
Ni-slabs,Ni-100-clean-4x4x4-CH-AA-1,CHNi64,-146.34612333,Ni-100-clean-4x4x4-CH-AA-1,self,/data/Chapter6/Ni-slabs.hdf,1591
Ni-slabs,Ni-100-clean-4x4x4-HOCHOH-AA-1,CH4Ni64O2,-167.77367716,Ni-100-clean-4x4x4-HOCHOH-AA-1,self,/data/Chapter6/Ni-slabs.hdf,1594
Ni-slabs,Ni-100-clean-4x4x4-COH-AA-1,CHNi64O,-151.4581762,Ni-100-clean-4x4x4-COH-AA-1,self,/data/Chapter6/Ni-slabs.hdf,1595
Ni-slabs,Ni-100-clean-4x4x4-H-AA-1,HNi64,-138.2904571,Ni-100-clean-4x4x4-H-AA-1,self,/data/Chapter6/Ni-slabs.hdf,1596
Ni-slabs,Ni-100-clean-4x4x4-Zn-1,Ni64Zn,-133.13713424,Ni-100-clean-4x4x4-Zn-1,self,/data/Chapter6/Ni-slabs.hdf,1597
Ni-slabs,Ni-100-clean-4x4x4-CH3-AA-1,CH3Ni64,-153.55601619,Ni-100-clean-4x4x4-CH3-AA-1,self,/data/Chapter6/Ni-slabs.hdf,1598
Ni-slabs,Ni-100-clean-4x4x4-AlOH-1,HAlNi64O,-148.49445342,Ni-100-clean-4x4x4-AlOH-1,self,/data/Chapter6/Ni-slabs.hdf,1599
Ni-slabs,Ni-100-clean-4x4x4-H2CO-AA-1,CH2Ni64O,-155.0944655,Ni-100-clean-4x4x4-H2CO-AA-1,self,/data/Chapter6/Ni-slabs.hdf,1600
Ni-slabs,Ni-100-clean-4x4x4-CH2-AA-1,CH2Ni64,-149.67065055,Ni-100-clean-4x4x4-CH2-AA-1,self,/data/Chapter6/Ni-slabs.hdf,1601
Ni-slabs,Ni-100-clean-4x4x4-NaOH-1,0,0.0,Ni-100-clean-4x4x4-NaOH-1,missing,/data/Chapter6/Ni-slabs.hdf,1602
Ni-slabs,Ni-100-clean-4x4x4-NaOH-2,HNaNi64O,-145.75887391,Ni-100-clean-4x4x4-NaOH-2,self,/data/Chapter6/Ni-slabs.hdf,1603
Ni-slabs,Ni-100-clean-4x4x4-OH-1,HNi64O,-144.11534433,Ni-100-clean-4x4x4-OH-1,self,/data/Chapter6/Ni-slabs.hdf,1604
Ni-slabs,Ni-100-clean-4x4x4-K-1,KNi64,-135.19452759,Ni-100-clean-4x4x4-K-1,self,/data/Chapter6/Ni-slabs.hdf,1605
Ni-slabs,Ni-100-clean-4x4x4-OHGaO-1,HGaNi64O2,-151.96048834,Ni-100-clean-4x4x4-OHGaO-1,self,/data/Chapter6/Ni-slabs.hdf,1607
Ni-slabs,Ni-100-clean-4x4x4-KOH-1,HKNi64O,-143.21067518,Ni-100-clean-4x4x4-KOH-1,self,/data/Chapter6/Ni-slabs.hdf,1608
Ni-slabs,Ni-100-clean-4x4x4-KOH-2,HKNi64O,-145.05295502,Ni-100-clean-4x4x4-KOH-2,self,/data/Chapter6/Ni-slabs.hdf,1609
Ni-slabs,Ni-100-clean-3x3x4,Ni36,-75.65259859,Ni-100-clean-3x3x4,self,/data/Chapter6/Ni-slabs.hdf,1610
Ni-slabs,Ni-100-clean-3x3x4-convergence-kpoints-9,Ni36,-75.71995083,Ni-100-clean-3x3x4-convergence-kpoints-9,self,/data/Chapter6/Ni-slabs.hdf,1611
Ni-slabs,Ni-100-clean-3x3x4-convergence-kpoints-7,Ni36,-75.71650982,Ni-100-clean-3x3x4-convergence-kpoints-7,self,/data/Chapter6/Ni-slabs.hdf,1612
Ni-slabs,Ni-100-clean-3x3x4-convergence-kpoints-6,Ni36,-75.7401581,Ni-100-clean-3x3x4-convergence-kpoints-6,self,/data/Chapter6/Ni-slabs.hdf,1613
Ni-slabs,Ni-100-clean-3x3x4-convergence-kpoints-10,Ni36,-75.71842232,Ni-100-clean-3x3x4-convergence-kpoints-10,self,/data/Chapter6/Ni-slabs.hdf,1614
Ni-slabs,Ni-100-clean-3x3x4-convergence-kpoints-8,Ni36,-75.72728304,Ni-100-clean-3x3x4-convergence-kpoints-8,self,/data/Chapter6/Ni-slabs.hdf,1615
Ni-slabs,Ni-100-clean-3x3x4-convergence-kpoints-4,Ni36,-75.65259859,Ni-100-clean-3x3x4-convergence-kpoints-4,self,/data/Chapter6/Ni-slabs.hdf,1616
Ni-slabs,Ni-100-clean-3x3x4-convergence-kpoints-3,Ni36,-75.73734463,Ni-100-clean-3x3x4-convergence-kpoints-3,self,/data/Chapter6/Ni-slabs.hdf,1617
Ni-slabs,Ni-100-clean-3x3x4-convergence-kpoints-5,Ni36,-75.72272064,Ni-100-clean-3x3x4-convergence-kpoints-5,self,/data/Chapter6/Ni-slabs.hdf,1618
Ni-slabs,Ni-100-clean-3x3x5,Ni45,-98.39511057,Ni-100-clean-3x3x5,self,/data/Chapter6/Ni-slabs.hdf,1619
Ni-slabs,Ni-100-NiO-2x2x4-1-a,Ni16O,-37.64894635,Ni-100-NiO-2x2x4-1-a,self,/data/Chapter6/Ni-slabs.hdf,1620
Ni-slabs,Ni-100-NiO-2x2x4-1-b,Ni16O,-39.45682447,Ni-100-NiO-2x2x4-1-b,self,/data/Chapter6/Ni-slabs.hdf,1621
